epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,3061.29,1.12486,0.83128,1.12714,0.96558,0.97586,0.99037,0.72102,0.93579,0.59763,1.05958,0.00068,0.00068,0.00068
102,3091.78,1.14462,0.82758,1.14672,0.96039,0.97566,0.9888,0.69682,0.98653,0.6057,1.07222,0.0006668,0.0006668,0.0006668
103,3121.96,1.12608,0.78467,1.13225,0.96117,0.97384,0.98861,0.71167,0.96307,0.58529,1.06581,0.0006536,0.0006536,0.0006536
104,3152.2,1.13057,0.77957,1.12804,0.96812,0.97756,0.99007,0.72448,0.91705,0.58426,1.04697,0.0006404,0.0006404,0.0006404
105,3183.63,1.13741,0.83379,1.12894,0.96769,0.98592,0.99116,0.72679,0.92458,0.57316,1.04725,0.0006272,0.0006272,0.0006272
106,3212.4,1.14904,0.80933,1.14007,0.97212,0.98234,0.99236,0.73262,0.90238,0.56647,1.04939,0.000614,0.000614,0.000614
107,3242.08,1.12545,0.7968,1.13987,0.95356,0.98592,0.99086,0.71375,0.95575,0.58638,1.05187,0.0006008,0.0006008,0.0006008
108,3271.92,1.12562,0.80127,1.12361,0.96797,0.98793,0.99076,0.72606,0.90472,0.55758,1.04519,0.0005876,0.0005876,0.0005876
109,3301.11,1.12093,0.79765,1.13405,0.96849,0.98937,0.99209,0.73139,0.931,0.55572,1.03913,0.0005744,0.0005744,0.0005744
110,3335.73,1.12569,0.78217,1.11842,0.98288,0.98994,0.99306,0.7261,0.9292,0.57434,1.0372,0.0005612,0.0005612,0.0005612
111,3365.33,1.12413,0.79243,1.10689,0.98196,0.98573,0.99219,0.71562,0.9746,0.57789,1.04585,0.000548,0.000548,0.000548
112,3394.55,1.08301,0.77741,1.106,0.9799,0.98994,0.99171,0.73394,0.89914,0.54276,1.0378,0.0005348,0.0005348,0.0005348
113,3424.23,1.0916,0.77805,1.12695,0.98369,0.98793,0.99217,0.74173,0.88619,0.53851,1.03416,0.0005216,0.0005216,0.0005216
114,3454.06,1.07962,0.76217,1.11275,0.97595,0.97994,0.99201,0.75177,0.87421,0.53601,1.03652,0.0005084,0.0005084,0.0005084
115,3483.33,1.07484,0.75505,1.10336,0.9694,0.97384,0.99113,0.74171,0.88059,0.55153,1.0296,0.0004952,0.0004952,0.0004952
116,3518.16,1.0981,0.77588,1.12552,0.97944,0.98189,0.99281,0.74507,0.87702,0.53632,1.03099,0.000482,0.000482,0.000482
117,3547.55,1.10681,0.7815,1.11348,0.98597,0.98984,0.99386,0.75507,0.85777,0.52103,1.03328,0.0004688,0.0004688,0.0004688
118,3579.23,1.07583,0.75998,1.11457,0.98298,0.97787,0.99272,0.75528,0.84089,0.52182,1.02542,0.0004556,0.0004556,0.0004556
119,3612.95,1.08153,0.77302,1.10491,0.97365,0.99195,0.99175,0.76164,0.83656,0.52776,1.02392,0.0004424,0.0004424,0.0004424
120,3643.58,1.0743,0.73219,1.0965,0.97753,0.98592,0.99257,0.76031,0.84157,0.51417,1.02057,0.0004292,0.0004292,0.0004292
121,3673.08,1.0648,0.7721,1.10314,0.97767,0.98793,0.99252,0.75866,0.82681,0.51608,1.01503,0.000416,0.000416,0.000416
122,3702.53,1.02118,0.70833,1.07618,0.98171,0.98793,0.99175,0.75364,0.84081,0.52555,1.02173,0.0004028,0.0004028,0.0004028
123,3732.21,1.02895,0.71566,1.10368,0.97797,0.99396,0.9922,0.75794,0.84786,0.51494,1.01287,0.0003896,0.0003896,0.0003896
124,3762.04,1.03987,0.72984,1.09683,0.98603,0.99393,0.99262,0.75769,0.83902,0.49716,1.01529,0.0003764,0.0003764,0.0003764
125,3792.2,1.05405,0.70765,1.09238,0.98224,0.99195,0.99296,0.76163,0.82924,0.50349,1.01598,0.0003632,0.0003632,0.0003632
126,3821.08,1.0537,0.71935,1.10153,0.9715,0.99799,0.99225,0.75537,0.84351,0.51957,1.022,0.00035,0.00035,0.00035
127,3858.79,1.01948,0.69625,1.08777,0.97057,0.99531,0.99241,0.76417,0.82396,0.50996,1.0123,0.0003368,0.0003368,0.0003368
128,3886.42,1.04143,0.68978,1.08464,0.97938,0.99598,0.99282,0.76809,0.81226,0.49405,1.0055,0.0003236,0.0003236,0.0003236
129,3914.39,1.01314,0.7211,1.07337,0.98802,0.99568,0.99313,0.76353,0.82326,0.49892,1.00473,0.0003104,0.0003104,0.0003104
130,3942.52,1.02049,0.69887,1.07334,0.98284,0.99598,0.99382,0.76845,0.81554,0.4954,1.00109,0.0002972,0.0002972,0.0002972
131,3971.5,1.00604,0.68334,1.08336,0.98458,0.99396,0.99355,0.76584,0.83071,0.50627,1.00211,0.000284,0.000284,0.000284
132,4001.62,1.00977,0.6738,1.09677,0.98195,0.99396,0.99351,0.7682,0.80485,0.49854,0.99233,0.0002708,0.0002708,0.0002708
133,4041.82,1.03011,0.713,1.08221,0.97975,0.99598,0.99356,0.77433,0.80539,0.492,0.99264,0.0002576,0.0002576,0.0002576
134,4069.57,1.00047,0.69401,1.06737,0.98395,0.98994,0.99286,0.77634,0.79122,0.48985,0.99611,0.0002444,0.0002444,0.0002444
135,4099.05,0.97956,0.68123,1.06888,0.98301,0.99396,0.99303,0.77629,0.79133,0.48378,0.98988,0.0002312,0.0002312,0.0002312
136,4126.94,0.99991,0.66523,1.06509,0.98212,0.99459,0.99338,0.77532,0.79401,0.47969,0.99242,0.000218,0.000218,0.000218
137,4156.48,0.99549,0.68032,1.06896,0.98579,0.99598,0.99325,0.77268,0.8009,0.48485,0.99093,0.0002048,0.0002048,0.0002048
138,4184.28,1.02473,0.68221,1.09252,0.9744,0.99598,0.99334,0.77693,0.78758,0.47657,0.99492,0.0001916,0.0001916,0.0001916
139,4224.04,0.98456,0.667,1.06403,0.98324,0.99396,0.99317,0.77506,0.78343,0.47376,0.98643,0.0001784,0.0001784,0.0001784
140,4253.56,0.99324,0.67366,1.07342,0.98137,0.99396,0.99285,0.77849,0.77443,0.47391,0.98636,0.0001652,0.0001652,0.0001652
141,4311.36,0.85957,0.53473,1.04017,0.98778,0.99598,0.99343,0.78067,0.78319,0.47368,0.98759,0.000152,0.000152,0.000152
142,4340.44,0.8938,0.56357,1.04441,0.97569,0.99799,0.99332,0.78299,0.7903,0.47448,0.98155,0.0001388,0.0001388,0.0001388
143,4369.85,0.88945,0.54566,1.04391,0.97957,0.99799,0.99356,0.78838,0.77452,0.47127,0.98023,0.0001256,0.0001256,0.0001256
144,4402.78,0.86839,0.53566,1.03896,0.98015,0.99333,0.99376,0.78823,0.77203,0.4719,0.97911,0.0001124,0.0001124,0.0001124
145,4431.97,0.85683,0.53353,1.03953,0.97875,0.99598,0.99367,0.78383,0.76697,0.46896,0.9778,9.92e-05,9.92e-05,9.92e-05
146,4461.06,0.86559,0.53568,1.02574,0.9814,0.99598,0.99375,0.78682,0.77049,0.46949,0.97778,8.6e-05,8.6e-05,8.6e-05
147,4491.44,0.86948,0.5311,1.02676,0.98163,0.99799,0.99367,0.78982,0.75912,0.46177,0.97645,7.28e-05,7.28e-05,7.28e-05
148,4521.65,0.8413,0.51455,1.019,0.98799,0.99273,0.99355,0.79268,0.75056,0.4592,0.97431,5.96e-05,5.96e-05,5.96e-05
149,4551.4,0.82322,0.51275,1.01183,0.97975,0.99799,0.99358,0.79128,0.74633,0.45726,0.97337,4.64e-05,4.64e-05,4.64e-05
150,4584.35,0.82606,0.51759,1.02391,0.98177,0.99799,0.99371,0.79101,0.74641,0.45618,0.97319,3.32e-05,3.32e-05,3.32e-05
